series_key,time_period,time_period_start,time_period_end,obs_value,updated_at,dataset_id,title_en,title_long_en,freq,ref_area,currency,provider_fm,instrument_fm,provider_fm_id,data_type_fm,unit,decimals,unit_mult,collection,time_format,source_agency,obs_status,obs_conf
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2003-12,2003-12-01,2003-12-31,4.3348,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2004-01,2004-01-01,2004-01-31,4.1864,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2003-06,2003-06-01,2003-06-30,3.6474,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2003-05,2003-05-01,2003-05-31,3.8404,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2003-04,2003-04-01,2003-04-30,4.157,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2003-02,2003-02-01,2003-02-28,3.9667,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2003-01,2003-01-01,2003-01-31,4.1827,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2002-12,2002-12-01,2002-12-31,4.3319,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2002-11,2002-11-01,2002-11-30,4.4942,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
FM.M.DE.EUR.FR2.BB.DE10YT_RR.YLD,2002-10,2002-10-01,2002-10-31,4.4915,2024-12-02T09:40:32+00:00,FM,Germany - 10 year Government Bond,Germany - 10 year Government Bond,M,DE,EUR,FR2,BB,DE10YT_RR,YLD,PC,4,0,A,P1M,FR2,A,F
