YEAR_MONTH,spread,residuals
2012-06-01,0.007737,7.002192958969599e-05
2012-07-01,0.008101999999999998,0.0004086074203953384
2012-08-01,0.010859,0.002808522388693868
2012-09-01,0.012962,0.0022143075054035545
2012-10-01,0.013104000000000001,0.0002989107337098597
2012-11-01,0.011995,-0.0009490100183493465
2012-12-01,0.011701,-0.00015805851107007426
2013-01-01,0.013607,0.0020355661446017984
2013-02-01,0.013777999999999999,0.0003418974585113633
2013-03-01,0.012077999999999998,-0.0015253944330528898
2013-04-01,0.010408,-0.0015322586689638304
2013-05-01,0.011695,0.0013885276404648275
2013-06-01,0.014119,0.002553436035533877
2013-07-01,0.014064999999999998,0.00012800009897395194
2013-08-01,0.015771,0.0018868291173626678
2013-09-01,0.017029,0.0014758234623415273
2013-10-01,0.015832,-0.0009518970030843697
2013-11-01,0.014979,-0.0006338537621346074
2013-12-01,0.015694999999999997,0.0009166490653759584
2014-01-01,0.014905000000000002,-0.0005738245858521313
2014-02-01,0.013751999999999999,-0.0009539556131284016
2014-03-01,0.012867,-0.0007109582390138793
2014-04-01,0.012017000000000002,-0.0006951493265322222
2014-05-01,0.010731,-0.0011495814444876986
2014-06-01,0.011117,0.0004945318452879086
2014-07-01,0.009921000000000001,-0.0010790978046758427
2014-08-01,0.008264,-0.0015660328788814244
2014-09-01,0.008994,0.0007850353335277314
2014-10-01,0.007935999999999999,-0.0009871347298752182
2014-11-01,0.007143000000000001,-0.0007450772955186124
2014-12-01,0.0057669999999999996,-0.0013452733773288393
2015-01-01,0.0037679999999999996,-0.001998111723572049
2015-02-01,0.003052,-0.0007584597280343871
2015-03-01,0.002337,-0.0007729860768062907
2015-04-01,0.0015650000000000002,-0.0008454907407335407
2015-05-01,0.006045999999999999,0.004390768559193959
2015-06-01,0.008477,0.0024379383480862774
2015-07-01,0.007737,-0.0006803457945610729
2015-08-01,0.006934,-0.0007593925796046596
2015-09-01,0.0071589999999999996,0.00025119449013858135
2015-10-01,0.006026,-0.0011019264198143808
2015-11-01,0.0063880000000000004,0.00036850465119320826
2015-12-01,0.007144,0.0007703545649577733
2016-01-01,0.006326,-0.0007872516924841838
2016-02-01,0.004126,-0.0021869898954107432
2016-03-01,0.004487,0.00032630344635156336
2016-04-01,0.004274,-0.00023986832472852257
2016-05-01,0.0041849999999999995,-0.00012048719663971912
2016-06-01,0.0028260000000000004,-0.0013924171478138792
2016-07-01,0.0020399999999999997,-0.0008488868516979818
2016-08-01,0.0022500000000000003,0.00013006886040437112
2016-09-01,0.0025359999999999996,0.00021062267778160443
2016-10-01,0.003496,0.000890824543352505
2016-11-01,0.005481,0.0019366419942198612
2016-12-01,0.006104,0.0006176864108570525
2017-01-01,0.006693,0.0005971960690761809
2017-02-01,0.00649,-0.00018203155742290995
2017-03-01,0.007228,0.0007545664191124304
2017-04-01,0.005901999999999999,-0.0012934301655332901
2017-05-01,0.007072,0.0011738157304561746
2017-06-01,0.006232,-0.0008108130012992355
2017-07-01,0.008698,0.0024769717291918264
2017-08-01,0.007441,-0.0011925534438926508
2017-09-01,0.0073479999999999995,-5.5811293622095616e-05
2017-10-01,0.007574,0.00026117201582513076
2017-11-01,0.006954999999999999,-0.000578927209283181
2017-12-01,0.0067350000000000005,-0.0001933501281236932
2018-01-01,0.008738000000000001,0.0020248792060525364
2018-02-01,0.010491,0.0018183139498934887
2018-03-01,0.009155,-0.001232672517428932
2018-04-01,0.008759,-0.0003216434698860033
2018-05-01,0.008371,-0.00032223066836878714
2018-06-01,0.007169,-0.0011446443880943433
2018-07-01,0.006659,-0.00047870957136784617
2018-08-01,0.006822,0.00018323115785887079
2018-09-01,0.007638,0.0008397657875373896
2018-10-01,0.007774999999999999,0.00017846062077464184
2018-11-01,0.0069960000000000005,-0.0007345685555078252
2018-12-01,0.00564,-0.0013284610494929015
2019-01-01,0.005162,-0.0004798656988430419
2019-02-01,0.0043619999999999996,-0.0008122310545874145
2019-03-01,0.0036429999999999995,-0.0007485789303102114
2019-04-01,0.003192,-0.0004961703336160742
2019-05-01,0.0022670000000000004,-0.000979950198554801
2019-06-01,0.0006090000000000002,-0.001733008679859286
2019-07-01,0.00019400000000000016,-0.0005259621522947826
2019-08-01,-0.002176,-0.002489961362825984
2019-09-01,-0.0015150000000000007,0.0004896455553452289
2019-10-01,-0.0003370000000000005,0.0010209792376611913
2019-11-01,0.0007429999999999997,0.0009485239846630099
2019-12-01,0.001226,0.00037494361688878623
2020-01-01,0.0011180000000000005,-0.00020558260314357496
2020-02-01,-0.0002409999999999999,-0.0014589245663661533
2020-03-01,-0.0010069999999999992,-0.0008953942702502539
2020-04-01,-0.001829,-0.0009680048612548335
2020-05-01,-0.002247,-0.0005818298035600068
2020-06-01,-0.00027800000000000004,0.0017961059313748315
2020-07-01,-0.000184000000000001,-3.619660950243496e-05
2020-08-01,0.00011900000000000018,0.00017484176589499585
2020-09-01,2.9999999999999645e-05,-0.00021058772617499645
2020-10-01,-0.0006200000000000008,-0.0007735176773491575
2020-11-01,-0.0005009999999999997,-1.8612826373928695e-05
2020-12-01,-0.00037899999999999913,-1.3032329860163117e-05
2021-01-01,0.00014700000000000043,0.0003936132211875625
