YEAR_MONTH,EURO STOXX 50,log_returns,residuals
2009-11-01,55034.44074203015,0.022584930288434002,-0.06264107365480809
2009-12-01,58407.64410404337,0.0612925890866205,-0.023933414856621593
2010-01-01,54735.66419654847,-0.06286813933042545,-0.14809414327366754
2010-02-01,53824.41438305068,-0.016648191391733347,-0.10187419533497544
2010-03-01,57852.48918287164,0.0748373177115218,-0.01038868623172029
2010-04-01,55735.19172427513,-0.036598208452254144,-0.12182421239549623
2010-05-01,52550.60426717064,-0.05713782187847871,-0.1423638258217208
2010-06-01,51928.68155368778,-0.011834739526894289,-0.09706074347013638
2010-07-01,55355.970557517285,0.0659999233811881,-0.019226080562053993
2010-08-01,53025.93624111008,-0.04209183386977555,-0.12731783781301764
2010-09-01,55588.103645496594,0.04831913561575374,-0.03690686832748835
2010-10-01,57590.5157407868,0.0360223134802411,-0.04920369046300099
2010-11-01,53857.86044661063,-0.06481371535161695,-0.15003971929485904
2010-12-01,56763.68926244592,0.053953662320393114,-0.031272341622848976
2011-01-01,60147.83408763118,0.05961812681939538,-0.025607877123846712
2011-02-01,61372.40761923709,0.020359395316243534,-0.06486660862699856
2011-03-01,59300.2436962252,-0.03376377110488937,-0.11898977504813146
2011-04-01,61605.4110508778,0.038872814190463956,-0.046353189752778134
2011-05-01,59552.76769284329,-0.03331920561879387,-0.11854520956203596
2011-06-01,59384.16969214701,-0.0028310691043926806,-0.08805707304763477
2011-07-01,55731.33734520317,-0.061511887189472536,-0.14673789113271463
2011-08-01,48093.82304670016,-0.13704164770344185,-0.22226765164668394
2011-09-01,45652.26040682349,-0.050766657445923236,-0.13599266138916533
2011-10-01,49989.182871636745,0.09499907400346452,0.009773070060222433
2011-11-01,49006.93788232954,-0.019649150733858423,-0.10487515467710051
2011-12-01,48759.2629432536,-0.005053875018076748,-0.09027987896131884
2012-01-01,51010.22032128115,0.0461647129622782,-0.03906129098096389
2012-02-01,53040.11040931019,0.03979379181748377,-0.04543221212575832
2012-03-01,52344.70458049436,-0.013110942331178932,-0.09833694627442102
2012-04-01,49092.23156114786,-0.06213566482823352,-0.1473616687714756
2012-05-01,45788.65569204755,-0.06729325117326301,-0.1525192551165051
2012-06-01,49114.23882230069,0.07262897501554577,-0.012597028927696319
2012-07-01,50524.44422340479,0.028712761002086085,-0.056513242941156006
2012-08-01,53042.597105485656,0.049840288612504224,-0.035385715330737866
2012-09-01,53463.8434376088,0.007941661138601619,-0.07728434280464047
2012-10-01,54597.40388919282,0.021202374889243814,-0.06402362905399828
