YEAR_MONTH,IEIF_index,log_returns
2013-12-01,2142.85,-0.009915400289237652
2014-01-01,2084.49,-0.02723475744919157
2014-02-01,2237.31,0.07331289667976337
2014-03-01,2203.93,-0.014919702678663271
2014-04-01,2273.82,0.031711533487905896
2014-05-01,2339.98,0.029096410445857535
2014-06-01,2454.76,0.04905170129659231
2014-07-01,2374.69,-0.03261826003356749
2014-08-01,2409.71,0.014747188054019755
2014-09-01,2315.46,-0.039112590311697226
2014-10-01,2314.81,-0.0002807217572318166
2014-11-01,2371.44,0.024464210885558613
2014-12-01,2367.16,-0.0018048105792262126
2015-01-01,2727.85,0.1523724632048531
2015-02-01,2805.85,0.02859394761442169
2015-03-01,2904.42,0.035130174456938335
2015-04-01,2770.77,-0.04601607205569447
2015-05-01,2635.66,-0.048762618333531904
2015-06-01,2491.8,-0.05458215399558353
