YEAR_MONTH,EURO STOXX 50,log_returns
2012-08-01,53042.597105485656,0.049840288612504224
2012-09-01,53463.8434376088,0.007941661138601619
2012-10-01,54597.40388919282,0.021202374889243814
2012-11-01,56195.10618192669,0.029263338161214625
2012-12-01,57563.53508728304,0.02435138926379432
2013-01-01,59174.6655393644,0.02798873365991894
2013-02-01,57666.60864375591,-0.02548484020759345
2013-03-01,57499.37832595615,-0.0028999506253757357
2013-04-01,59826.0543591784,0.040464368502084236
2013-05-01,61777.36609141096,0.03261642027263645
2013-06-01,58169.667280051726,-0.058398391508323266
2013-07-01,61960.51126473368,0.06516874106278348
2013-08-01,60930.39737404884,-0.016625329095228958
2013-09-01,64868.702441935646,0.06463612970894861
2013-10-01,68837.84254239817,0.06118728988012867
2013-11-01,69377.45561247328,0.007838901542313037
