YEAR_MONTH,bund_10_years,residuals
2013-02-01,0.016012,0.0005610745004286984
2013-03-01,0.014138999999999999,-0.0016673102084728587
2013-04-01,0.012497000000000001,-0.0014395474001228075
2013-05-01,0.013707,0.0014096146561029116
2013-06-01,0.016222,0.002716705954499304
2013-07-01,0.016279,0.0002630527441413906
2013-08-01,0.01803,0.001957151259850975
2013-09-01,0.019261,0.0014401775933155052
2013-10-01,0.01809,-0.0009596948130266778
2013-11-01,0.017213,-0.0006677187059375665
2013-12-01,0.01843,0.0014247655348114951
2014-01-01,0.017825,-0.0003951310683716347
2014-02-01,0.016633,-0.0009831767175698357
2014-03-01,0.01592,-0.0005062369057421481
2014-04-01,0.015314000000000001,-0.0004004692162848135
2014-05-01,0.013977,-0.0011325165938287935
2014-06-01,0.013531,-0.00024382739213951732
2014-07-01,0.011971,-0.0013585982343583512
2014-08-01,0.01018,-0.0015922944537784967
2014-09-01,0.009965,-1.9389921074312172e-05
2014-10-01,0.008761999999999999,-0.0010077615154174754
2014-11-01,0.007952,-0.0006168407153933891
2014-12-01,0.006575999999999999,-0.0011842406754769283
2015-01-01,0.004395,-0.001991618879273155
2015-02-01,0.003534,-0.0006753884014240076
2015-03-01,0.002609,-0.0007408765071424332
2015-04-01,0.0016120000000000002,-0.0008144752269909155
2015-05-01,0.005941999999999999,0.004510801612264288
2015-06-01,0.008338,0.0025842853495009668
2015-07-01,0.00755,-0.0005955735340050202
2015-08-01,0.006657,-0.0007019354704813491
2015-09-01,0.006789,0.0003215211167351987
2015-10-01,0.00549,-0.0011092507416215584
2015-11-01,0.005512,0.00020950413720743823
2015-12-01,0.005881,0.0005565421608146447
2016-01-01,0.0048649999999999995,-0.0008278200795917446
2016-02-01,0.00229,-0.002388576078906401
2016-03-01,0.002202,9.397343070458117e-05
2016-04-01,0.001782,-0.00023817866372424757
2016-05-01,0.001613,1.209543104725274e-05
2016-06-01,0.000147,-0.0012851966593899295
2016-07-01,-0.000905,-0.0008737304143065505
2016-08-01,-0.000732,0.0003494513659306354
2016-09-01,-0.00048,0.00042875036975094616
2016-10-01,0.00040599999999999995,0.001063185912888046
2016-11-01,0.002354,0.0021267172272510246
2016-12-01,0.002946,0.0007740840448346377
2017-01-01,0.003438,0.000675107225537667
2017-02-01,0.0032040000000000003,-5.004242833751881e-05
2017-03-01,0.003935,0.0009145531387494592
2017-04-01,0.0025979999999999996,-0.001152183440483795
2017-05-01,0.003777,0.0013615057612054813
2017-06-01,0.002932,-0.0006604565191173726
2017-07-01,0.0053939999999999995,0.002645083028696716
2017-08-01,0.00415,-0.001056661783987647
2017-09-01,0.0040539999999999994,8.918815385936668e-05
2017-10-01,0.004279,0.000410022232664281
2017-11-01,0.003665,-0.0004285888895347364
2017-12-01,0.0034560000000000003,-2.465009384497235e-05
2018-01-01,0.005453,0.0021809886818865594
2018-02-01,0.007206000000000001,0.001940440188413499
2018-03-01,0.005876,-0.0011395300214304058
2018-04-01,0.005474,-0.00021382872132065522
2018-05-01,0.005119,-0.00016752351632507573
2018-06-01,0.003948999999999999,-0.0009831370790777377
2018-07-01,0.003452,-0.00031215924364284353
2018-08-01,0.0036320000000000002,0.0003639817685034308
2018-09-01,0.00445,0.0010022928707442164
2018-10-01,0.004598,0.0003337066575940092
2018-11-01,0.003832,-0.0005800375472302332
2018-12-01,0.002521,-0.001126361460099355
2019-01-01,0.002082,-0.00025662732141974384
2019-02-01,0.001278,-0.0006223860652181047
2019-03-01,0.0005510000000000001,-0.0005467756552269473
2019-04-01,8.7e-05,-0.0002850321626105649
2019-05-01,-0.000852,-0.0007608341150534791
2019-06-01,-0.00268,-0.001651457031742911
2019-07-01,-0.0034549999999999997,-0.0006016164478326673
2019-08-01,-0.006253,-0.0026259559158138285
2019-09-01,-0.005691000000000001,0.0007292081726877359
2019-10-01,-0.004466,0.001393179503017301
2019-11-01,-0.0032700000000000003,0.001366296726600426
2019-12-01,-0.002721,0.0007213638281558686
2020-01-01,-0.002793,0.00010131268999026425
2020-02-01,-0.00433,-0.0013638117509060495
2020-03-01,-0.005173,-0.000672468218373203
2020-04-01,-0.00437,0.0009720747861324507
2020-05-01,-0.004967,-0.00042653735220448893
2020-06-01,-0.004038,0.0010984308253635727
2020-07-01,-0.004625000000000001,-0.0004159635414048178
2020-08-01,-0.004678,0.00011702191962106607
2020-09-01,-0.004884,-3.60696827053893e-05
2020-10-01,-0.005711000000000001,-0.0006574257219365102
2020-11-01,-0.00571,0.00016914493610165927
2020-12-01,-0.0057599999999999995,0.00011814666444744104
2021-01-01,-0.005325,0.0006030602471583327
