YEAR_MONTH,GDP
2010-03-01,1.09659269511172
2010-04-01,1.57533015436043
2010-05-01,1.91092885149728
2010-06-01,2.1256704723583506
2010-07-01,2.25270285580619
2010-08-01,2.32702097403476
2010-09-01,2.3770204781729
2010-10-01,2.41981156639714
2010-11-01,2.46041232219503
2010-12-01,2.49161888865882
2011-01-01,2.49424148904435
2011-02-01,2.44786494719503
2011-03-01,2.33861649079205
2011-04-01,2.17852543476627
2011-05-01,1.98769387903258
2011-06-01,1.78149658349581
2011-07-01,1.56001640437998
2011-08-01,1.3156451326837
2011-09-01,1.04154886370335
2011-10-01,0.741498577035545
2011-11-01,0.426129133207079
2011-12-01,0.111059592894706
2012-01-01,-0.18373869587943
2012-02-01,-0.438429513434537
2012-03-01,-0.641666867045896
2012-04-01,-0.797178748853784
2012-05-01,-0.915054958244095
2012-06-01,-1.00557082411838
2012-07-01,-1.07545392072928
2012-08-01,-1.12791008350784
2012-09-01,-1.16378418866113
2012-10-01,-1.18365096431289
2012-11-01,-1.18589758288119
2012-12-01,-1.16569778970211
2013-01-01,-1.11483473833805
2013-02-01,-1.02704134699753
2013-03-01,-0.896083416869249
2013-04-01,-0.730473346426988
2013-05-01,-0.542601666883676
2013-06-01,-0.342575547382832
2013-07-01,-0.133500784411374
2013-08-01,0.0850059700099215
2013-09-01,0.312649203070996
2013-10-01,0.543558411407033
2013-11-01,0.767537138953869
2013-12-01,0.971119168534748
2014-01-01,1.13910985348068
2014-02-01,1.25828617941671
2014-03-01,1.32420916179553
2014-04-01,1.3505375229715
2014-05-01,1.35758561271606
2014-06-01,1.3633655966783
2014-07-01,1.37600967135838
2014-08-01,1.3976207793353
2014-09-01,1.4276210654124
2014-10-01,1.46547629376267
2014-11-01,1.51085093879199
2014-12-01,1.56297821568924
2015-01-01,1.62154074953327
2015-02-01,1.68581461939334
2015-03-01,1.75138618821989
2015-04-01,1.81136596927688
2015-05-01,1.8597089667964
2015-06-01,1.89321738359514
2015-07-01,1.91406038428506
2015-08-01,1.9263841001745097
2015-09-01,1.93365531095599
2015-10-01,1.93640213870066
2015-11-01,1.93340847071216
2015-12-01,1.92320529808263
2016-01-01,1.90349200151978
2016-02-01,1.8719053477196
2016-03-01,1.83346958150238
2016-04-01,1.79616686623395
2016-05-01,1.76860970143653
2016-06-01,1.75801659291352
2016-07-01,1.76768071371246
2016-08-01,1.79840451266319
2016-09-01,1.84851234831627
2016-10-01,1.91426688263992
2016-11-01,1.99176848342488
2016-12-01,2.07973841758669
2017-01-01,2.1789509845394694
2017-02-01,2.2912999926913
2017-03-01,2.41641136932385
2017-04-01,2.54891311580241
2017-05-01,2.6797124603465
2017-06-01,2.79852272980408
2017-07-01,2.8963967146452094
2017-08-01,2.96466665636978
2017-09-01,2.9952194482495
2017-10-01,2.98089754688416
2017-11-01,2.9170990223632094
2017-12-01,2.80453268317476
2018-01-01,2.65745652075374
2018-02-01,2.49408827326035
2018-03-01,2.32560895771004
2018-04-01,2.15390287267833
2018-05-01,1.97791878105511
2018-06-01,1.80011453850558
2018-07-01,1.63328268619688
2018-08-01,1.49497146097072
2018-09-01,1.40144951761527
2018-10-01,1.35990719669466
2018-11-01,1.37060782302217
2018-12-01,1.42538569810405
2019-01-01,1.50300758628889
2019-02-01,1.57942121361084
2019-03-01,1.63648580649111
2019-04-01,1.67114402259211
2019-05-01,1.68631691413266
2019-06-01,1.68321052551067
2019-07-01,1.65492188450584
2019-08-01,1.59167405369384
2019-09-01,1.48765462181696
2019-10-01,1.35011262270832
2019-11-01,1.1917427607844
2019-12-01,1.02541013345376
2020-01-01,0.860358502542956
2020-02-01,0.702170896319922
2020-03-01,-10.4145904578785
2020-04-01,-13.1701669149038
2020-05-01,-14.5875276198033
2020-06-01,-11.0689306697268
2020-07-01,-7.59387097573855
2020-08-01,-4.16648105839642
2020-09-01,-4.21312515474699
2020-10-01,-4.24620805407712
2020-11-01,-4.26486249158849
2020-12-01,-4.387957693668009
2021-01-01,-4.49078816116368
